"Source","Target","Type"
"Lisa Nandy","3 Apr, more ind votes (Aye)","Undirected"
"Teresa Pearce","3 Apr, more ind votes (Aye)","Undirected"
"Mike Amesbury","3 Apr, more ind votes (Aye)","Undirected"
"Tonia Antoniazzi","3 Apr, more ind votes (Aye)","Undirected"
"Jonathan Ashworth","3 Apr, more ind votes (Aye)","Undirected"
"Mr Adrian Bailey","3 Apr, more ind votes (Aye)","Undirected"
"Hannah Bardell","3 Apr, more ind votes (Aye)","Undirected"
"Guto Bebb","3 Apr, more ind votes (Aye)","Undirected"
"Margaret Beckett","3 Apr, more ind votes (Aye)","Undirected"
"Hilary Benn","3 Apr, more ind votes (Aye)","Undirected"
"Luciana Berger","3 Apr, more ind votes (Aye)","Undirected"
"Mr Clive Betts","3 Apr, more ind votes (Aye)","Undirected"
"Matthew Pennycook","3 Apr, more ind votes (Aye)","Undirected"
"Mhairi Black","3 Apr, more ind votes (Aye)","Undirected"
"Ian Blackford","3 Apr, more ind votes (Aye)","Undirected"
"Kirsty Blackman","3 Apr, more ind votes (Aye)","Undirected"
"Dr Roberta Blackman-Woods","3 Apr, more ind votes (Aye)","Undirected"
"Paul Blomfield","3 Apr, more ind votes (Aye)","Undirected"
"Nick Boles","3 Apr, more ind votes (Aye)","Undirected"
"Tracy Brabin","3 Apr, more ind votes (Aye)","Undirected"
"Mr Ben Bradshaw","3 Apr, more ind votes (Aye)","Undirected"
"Tom Brake","3 Apr, more ind votes (Aye)","Undirected"
"Kevin Brennan","3 Apr, more ind votes (Aye)","Undirected"
"Toby Perkins","3 Apr, more ind votes (Aye)","Undirected"
"Deidre Brock","3 Apr, more ind votes (Aye)","Undirected"
"Alan Brown","3 Apr, more ind votes (Aye)","Undirected"
"Lyn Brown","3 Apr, more ind votes (Aye)","Undirected"
"Mr Nicholas Brown","3 Apr, more ind votes (Aye)","Undirected"
"Chris Bryant","3 Apr, more ind votes (Aye)","Undirected"
"Ms Karen Buck","3 Apr, more ind votes (Aye)","Undirected"
"Richard Burden","3 Apr, more ind votes (Aye)","Undirected"
"Richard Burgon","3 Apr, more ind votes (Aye)","Undirected"
"Dawn Butler","3 Apr, more ind votes (Aye)","Undirected"
"Liam Byrne","3 Apr, more ind votes (Aye)","Undirected"
"Jess Phillips","3 Apr, more ind votes (Aye)","Undirected"
"Sir Vince Cable","3 Apr, more ind votes (Aye)","Undirected"
"Ruth Cadbury","3 Apr, more ind votes (Aye)","Undirected"
"Dr Lisa Cameron","3 Apr, more ind votes (Aye)","Undirected"
"Sir Alan Campbell","3 Apr, more ind votes (Aye)","Undirected"
"Dan Carden","3 Apr, more ind votes (Aye)","Undirected"
"Mr Alistair Carmichael","3 Apr, more ind votes (Aye)","Undirected"
"Sarah Champion","3 Apr, more ind votes (Aye)","Undirected"
"Douglas Chapman","3 Apr, more ind votes (Aye)","Undirected"
"Jenny Chapman","3 Apr, more ind votes (Aye)","Undirected"
"Bambos Charalambous","3 Apr, more ind votes (Aye)","Undirected"
"Bridget Phillipson","3 Apr, more ind votes (Aye)","Undirected"
"Joanna Cherry","3 Apr, more ind votes (Aye)","Undirected"
"Mr Kenneth Clarke","3 Apr, more ind votes (Aye)","Undirected"
"Ann Clwyd","3 Apr, more ind votes (Aye)","Undirected"
"Vernon Coaker","3 Apr, more ind votes (Aye)","Undirected"
"Ann Coffey","3 Apr, more ind votes (Aye)","Undirected"
"Julie Cooper","3 Apr, more ind votes (Aye)","Undirected"
"Yvette Cooper","3 Apr, more ind votes (Aye)","Undirected"
"Jeremy Corbyn","3 Apr, more ind votes (Aye)","Undirected"
"Ronnie Cowan","3 Apr, more ind votes (Aye)","Undirected"
"Neil Coyle","3 Apr, more ind votes (Aye)","Undirected"
"Laura Pidcock","3 Apr, more ind votes (Aye)","Undirected"
"Sir David Crausby","3 Apr, more ind votes (Aye)","Undirected"
"Angela Crawley","3 Apr, more ind votes (Aye)","Undirected"
"Mary Creagh","3 Apr, more ind votes (Aye)","Undirected"
"Stella Creasy","3 Apr, more ind votes (Aye)","Undirected"
"Jon Cruddas","3 Apr, more ind votes (Aye)","Undirected"
