"Id","Label","Type","TypeNumber","Party","Topic","VoteName"
"Adam Afriyie","Adam Afriyie","member",1,"Conservative","Member","Member"
"Andrew Rosindell","Andrew Rosindell","member",1,"Conservative","Member","Member"
"Naz Shah","Naz Shah","member",1,"Labour","Member","Member"
"Jim Shannon","Jim Shannon","member",1,"Democratic Unionist Party","Member","Member"
"Grant Shapps","Grant Shapps","member",1,"Conservative","Member","Member"
"Alok Sharma","Alok Sharma","member",1,"Conservative","Member","Member"
"Mr Virendra Sharma","Mr Virendra Sharma","member",1,"Labour","Member","Member"
"Mr Barry Sheerman","Mr Barry Sheerman","member",1,"Labour (Co-op)","Member","Member"
"Alec Shelbrooke","Alec Shelbrooke","member",1,"Conservative","Member","Member"
"Tommy Sheppard","Tommy Sheppard","member",1,"Scottish National Party","Member","Member"
"Paula Sherriff","Paula Sherriff","member",1,"Labour","Member","Member"
"Mr Gavin Shuker","Mr Gavin Shuker","member",1,"Independent","Member","Member"
"Julian Sturdy","Julian Sturdy","member",1,"Conservative","Member","Member"
"Tulip Siddiq","Tulip Siddiq","member",1,"Labour","Member","Member"
"David Simpson","David Simpson","member",1,"Democratic Unionist Party","Member","Member"
"Mr Keith Simpson","Mr Keith Simpson","member",1,"Conservative","Member","Member"
"Chris Skidmore","Chris Skidmore","member",1,"Conservative","Member","Member"
"Mr Dennis Skinner","Mr Dennis Skinner","member",1,"Labour","Member","Member"
"Andy Slaughter","Andy Slaughter","member",1,"Labour","Member","Member"
"Ruth Smeeth","Ruth Smeeth","member",1,"Labour","Member","Member"
"Angela Smith","Angela Smith","member",1,"Independent","Member","Member"
"Cat Smith","Cat Smith","member",1,"Labour","Member","Member"
"Chloe Smith","Chloe Smith","member",1,"Conservative","Member","Member"
"Martin Vickers","Martin Vickers","member",1,"Conservative","Member","Member"
"Eleanor Smith","Eleanor Smith","member",1,"Labour","Member","Member"
"Henry Smith","Henry Smith","member",1,"Conservative","Member","Member"
"Jeff Smith","Jeff Smith","member",1,"Labour","Member","Member"
"Julian Smith","Julian Smith","member",1,"Conservative","Member","Member"
"Laura Smith","Laura Smith","member",1,"Labour","Member","Member"
"Nick Smith","Nick Smith","member",1,"Labour","Member","Member"
"Owen Smith","Owen Smith","member",1,"Labour","Member","Member"
"Royston Smith","Royston Smith","member",1,"Conservative","Member","Member"
"Karin Smyth","Karin Smyth","member",1,"Labour","Member","Member"
"Gareth Snell","Gareth Snell","member",1,"Labour (Co-op)","Member","Member"
"Giles Watling","Giles Watling","member",1,"Conservative","Member","Member"
"Sir Nicholas Soames","Sir Nicholas Soames","member",1,"Conservative","Member","Member"
"Alex Sobel","Alex Sobel","member",1,"Labour (Co-op)","Member","Member"
"Anna Soubry","Anna Soubry","member",1,"Change UK - The Independent Group","Member","Member"
"John Spellar","John Spellar","member",1,"Labour","Member","Member"
"Dame Caroline Spelman","Dame Caroline Spelman","member",1,"Conservative","Member","Member"
"Mark Spencer","Mark Spencer","member",1,"Conservative","Member","Member"
"Keir Starmer","Keir Starmer","member",1,"Labour","Member","Member"
"Chris Stephens","Chris Stephens","member",1,"Scottish National Party","Member","Member"
"Andrew Stephenson","Andrew Stephenson","member",1,"Conservative","Member","Member"
"Jo Stevens","Jo Stevens","member",1,"Labour","Member","Member"
"Bill Wiggin","Bill Wiggin","member",1,"Conservative","Member","Member"
"John Stevenson","John Stevenson","member",1,"Conservative","Member","Member"
"Bob Stewart","Bob Stewart","member",1,"Conservative","Member","Member"
"Rory Stewart","Rory Stewart","member",1,"Conservative","Member","Member"
"Jamie Stone","Jamie Stone","member",1,"Liberal Democrat","Member","Member"
"Sir Gary Streeter","Sir Gary Streeter","member",1,"Conservative","Member","Member"
"Wes Streeting","Wes Streeting","member",1,"Labour","Member","Member"
"Mel Stride","Mel Stride","member",1,"Conservative","Member","Member"
"Graham Stringer","Graham Stringer","member",1,"Labour","Member","Member"
"Graham Stuart","Graham Stuart","member",1,"Conservative","Member","Member"
"Rishi Sunak","Rishi Sunak","member",1,"Conservative","Member","Member"
"Mike Wood","Mike Wood","member",1,"Conservative","Member","Member"
"Sir Desmond Swayne","Sir Desmond Swayne","member",1,"Conservative","Member","Member"
"Mr Paul Sweeney","Mr Paul Sweeney","member",1,"Labour (Co-op)","Member","Member"
"Jo Swinson","Jo Swinson","member",1,"Liberal Democrat","Member","Member"
"Sir Hugo Swire","Sir Hugo Swire","member",1,"Conservative","Member","Member"
"Sir Robert Syms","Sir Robert Syms","member",1,"Conservative","Member","Member"
"Mark Tami","Mark Tami","member",1,"Labour","Member","Member"
"Alison Thewliss","Alison Thewliss","member",1,"Scottish National Party","Member","Member"
"Derek Thomas","Derek Thomas","member",1,"Conservative","Member","Member"
"Gareth Thomas","Gareth Thomas","member",1,"Labour (Co-op)","Member","Member"
"Nick Thomas-Symonds","Nick Thomas-Symonds","member",1,"Labour","Member","Member"
"Greg Hands","Greg Hands","member",1,"Conservative","Member","Member"
"Ross Thomson","Ross Thomson","member",1,"Conservative","Member","Member"
"Emily Thornberry","Emily Thornberry","member",1,"Labour","Member","Member"
"Maggie Throup","Maggie Throup","member",1,"Conservative","Member","Member"
"Stephen Timms","Stephen Timms","member",1,"Labour","Member","Member"
"Kelly Tolhurst","Kelly Tolhurst","member",1,"Conservative","Member","Member"
"Justin Tomlinson","Justin Tomlinson","member",1,"Conservative","Member","Member"
"Michael Tomlinson","Michael Tomlinson","member",1,"Conservative","Member","Member"
"Craig Tracey","Craig Tracey","member",1,"Conservative","Member","Member"
"David Tredinnick","David Tredinnick","member",1,"Conservative","Member","Member"
"Anne-Marie Trevelyan","Anne-Marie Trevelyan","member",1,"Conservative","Member","Member"
"Simon Hart","Simon Hart","member",1,"Conservative","Member","Member"
"Jon Trickett","Jon Trickett","member",1,"Labour","Member","Member"
"Elizabeth Truss","Elizabeth Truss","member",1,"Conservative","Member","Member"
"Tom Tugendhat","Tom Tugendhat","member",1,"Conservative","Member","Member"
"Anna Turley","Anna Turley","member",1,"Labour (Co-op)","Member","Member"
"Karl Turner","Karl Turner","member",1,"Labour","Member","Member"
"Derek Twigg","Derek Twigg","member",1,"Labour","Member","Member"
"Stephen Twigg","Stephen Twigg","member",1,"Labour (Co-op)","Member","Member"
"Liz Twist","Liz Twist","member",1,"Labour","Member","Member"
"Chuka Umunna","Chuka Umunna","member",1,"Liberal Democrat","Member","Member"
"Mr Edward Vaizey","Mr Edward Vaizey","member",1,"Conservative","Member","Member"
"Sir John Hayes","Sir John Hayes","member",1,"Conservative","Member","Member"
"Mr Shailesh Vara","Mr Shailesh Vara","member",1,"Conservative","Member","Member"
"Keith Vaz","Keith Vaz","member",1,"Labour","Member","Member"
"Valerie Vaz","Valerie Vaz","member",1,"Labour","Member","Member"
"Theresa Villiers","Theresa Villiers","member",1,"Conservative","Member","Member"
"Mr Charles Walker","Mr Charles Walker","member",1,"Conservative","Member","Member"
"Mr Robin Walker","Mr Robin Walker","member",1,"Conservative","Member","Member"
"Thelma Walker","Thelma Walker","member",1,"Labour","Member","Member"
"Mr Ben Wallace","Mr Ben Wallace","member",1,"Conservative","Member","Member"
"David Warburton","David Warburton","member",1,"Conservative","Member","Member"
"Matt Warman","Matt Warman","member",1,"Conservative","Member","Member"
"Gordon Henderson","Gordon Henderson","member",1,"Conservative","Member","Member"
"Tom Watson","Tom Watson","member",1,"Labour","Member","Member"
"Catherine West","Catherine West","member",1,"Labour","Member","Member"
"Matt Western","Matt Western","member",1,"Labour","Member","Member"
"Helen Whately","Helen Whately","member",1,"Conservative","Member","Member"
"Mrs Heather Wheeler","Mrs Heather Wheeler","member",1,"Conservative","Member","Member"
"Dr Alan Whitehead","Dr Alan Whitehead","member",1,"Labour","Member","Member"
"Martin Whitfield","Martin Whitfield","member",1,"Labour","Member","Member"
"Dr Philippa Whitford","Dr Philippa Whitford","member",1,"Scottish National Party","Member","Member"
"Mr John Whittingdale","Mr John Whittingdale","member",1,"Conservative","Member","Member"
"Dr Paul Williams","Dr Paul Williams","member",1,"Labour","Member","Member"
"Sir David Amess","Sir David Amess","member",1,"Conservative","Member","Member"
"Dr Caroline Johnson","Dr Caroline Johnson","member",1,"Conservative","Member","Member"
"Hywel Williams","Hywel Williams","member",1,"Plaid Cymru","Member","Member"
"Chris Williamson","Chris Williamson","member",1,"Independent","Member","Member"
"Gavin Williamson","Gavin Williamson","member",1,"Conservative","Member","Member"
"Phil Wilson","Phil Wilson","member",1,"Labour","Member","Member"
"Sammy Wilson","Sammy Wilson","member",1,"Democratic Unionist Party","Member","Member"
"Pete Wishart","Pete Wishart","member",1,"Scottish National Party","Member","Member"
"Dr Sarah Wollaston","Dr Sarah Wollaston","member",1,"Independent","Member","Member"
"John Woodcock","John Woodcock","member",1,"Independent","Member","Member"
"Mr William Wragg","Mr William Wragg","member",1,"Conservative","Member","Member"
"Jeremy Wright","Jeremy Wright","member",1,"Conservative","Member","Member"
"Sir Edward Leigh","Sir Edward Leigh","member",1,"Conservative","Member","Member"
"Mohammad Yasin","Mohammad Yasin","member",1,"Labour","Member","Member"
"Nadhim Zahawi","Nadhim Zahawi","member",1,"Conservative","Member","Member"
"Daniel Zeichner","Daniel Zeichner","member",1,"Labour","Member","Member"
"Louise Haigh","Louise Haigh","member",1,"Labour","Member","Member"
"Kirstene Hair","Kirstene Hair","member",1,"Conservative","Member","Member"
"Robert Halfon","Robert Halfon","member",1,"Conservative","Member","Member"
"Luke Hall","Luke Hall","member",1,"Conservative","Member","Member"
"Fabian Hamilton","Fabian Hamilton","member",1,"Labour","Member","Member"
"Mr Philip Hammond","Mr Philip Hammond","member",1,"Conservative","Member","Member"
"Stephen Hammond","Stephen Hammond","member",1,"Conservative","Member","Member"
"Mr Ian Liddell-Grainger","Mr Ian Liddell-Grainger","member",1,"Conservative","Member","Member"
"Matt Hancock","Matt Hancock","member",1,"Conservative","Member","Member"
"David Hanson","David Hanson","member",1,"Labour","Member","Member"
"Emma Hardy","Emma Hardy","member",1,"Labour","Member","Member"
"Ms Harriet Harman","Ms Harriet Harman","member",1,"Labour","Member","Member"
"Mr Mark Harper","Mr Mark Harper","member",1,"Conservative","Member","Member"
"Richard Harrington","Richard Harrington","member",1,"Conservative","Member","Member"
"Carolyn Harris","Carolyn Harris","member",1,"Labour","Member","Member"
"Rebecca Harris","Rebecca Harris","member",1,"Conservative","Member","Member"
"Trudy Harrison","Trudy Harrison","member",1,"Conservative","Member","Member"
"Helen Hayes","Helen Hayes","member",1,"Labour","Member","Member"
"Stephen Metcalfe","Stephen Metcalfe","member",1,"Conservative","Member","Member"
"Sue Hayman","Sue Hayman","member",1,"Labour","Member","Member"
"Sir Oliver Heald","Sir Oliver Heald","member",1,"Conservative","Member","Member"
"John Healey","John Healey","member",1,"Labour","Member","Member"
"James Heappey","James Heappey","member",1,"Conservative","Member","Member"
"Chris Heaton-Harris","Chris Heaton-Harris","member",1,"Conservative","Member","Member"
"Peter Heaton-Jones","Peter Heaton-Jones","member",1,"Conservative","Member","Member"
"Sir Mark Hendrick","Sir Mark Hendrick","member",1,"Labour (Co-op)","Member","Member"
"Drew Hendry","Drew Hendry","member",1,"Scottish National Party","Member","Member"
"Mr Stephen Hepburn","Mr Stephen Hepburn","member",1,"Labour","Member","Member"
"Nick Herbert","Nick Herbert","member",1,"Conservative","Member","Member"
"Dr Andrew Murrison","Dr Andrew Murrison","member",1,"Conservative","Member","Member"
"Lady Hermon","Lady Hermon","member",1,"Independent","Member","Member"
"Mike Hill","Mike Hill","member",1,"Labour","Member","Member"
"Meg Hillier","Meg Hillier","member",1,"Labour (Co-op)","Member","Member"
"Mr Damian Hinds","Mr Damian Hinds","member",1,"Conservative","Member","Member"
"Simon Hoare","Simon Hoare","member",1,"Conservative","Member","Member"
"Wera Hobhouse","Wera Hobhouse","member",1,"Liberal Democrat","Member","Member"
"Dame Margaret Hodge","Dame Margaret Hodge","member",1,"Labour","Member","Member"
"Mrs Sharon Hodgson","Mrs Sharon Hodgson","member",1,"Labour","Member","Member"
"Kate Hollern","Kate Hollern","member",1,"Labour","Member","Member"
"George Hollingbery","George Hollingbery","member",1,"Conservative","Member","Member"
"Lisa Nandy","Lisa Nandy","member",1,"Labour","Member","Member"
"Kevin Hollinrake","Kevin Hollinrake","member",1,"Conservative","Member","Member"
