"Id","Label","VoteName","Count","Meaningful","PMs","Indicative","Markets"
3941,"Ext to 12 April (Aye)","Aye",440,FALSE,TRUE,FALSE,FALSE
3940,"Ext to 12 April (No)","No",105,FALSE,TRUE,FALSE,FALSE
4061,"3 Apr, Gvt, Brex Sec free (Aye)","Aye",219,FALSE,TRUE,FALSE,FALSE
4060,"3 Apr, Gvt, Brex Sec free (No)","No",400,FALSE,TRUE,FALSE,FALSE
2931,"MV 1 (Aye)","Aye",202,TRUE,TRUE,FALSE,TRUE
2930,"MV 1 (No)","No",432,TRUE,TRUE,FALSE,TRUE
3751,"Stmt, amdd w/ind votes (Aye)","Aye",327,FALSE,TRUE,FALSE,FALSE
3750,"Stmt, amdd w/ind votes (No)","No",300,FALSE,TRUE,FALSE,FALSE
3591,"No ND, amdd (Aye)","Aye",321,FALSE,TRUE,FALSE,FALSE
3590,"No ND, amdd (No)","No",278,FALSE,TRUE,FALSE,FALSE
4131,"Ext to 30 June (Aye)","Aye",420,FALSE,TRUE,FALSE,FALSE
4130,"Ext to 30 June (No)","No",110,FALSE,TRUE,FALSE,FALSE
3541,"MV 2 (Aye)","Aye",242,TRUE,TRUE,FALSE,TRUE
3540,"MV 2 (No)","No",391,TRUE,TRUE,FALSE,TRUE
3331,"14 Feb, Ack (Aye)","Aye",259,FALSE,TRUE,FALSE,FALSE
3330,"14 Feb, Ack (No)","No",303,FALSE,TRUE,FALSE,FALSE
3641,"14 Mar, ext if WA approved (Aye)","Aye",413,FALSE,TRUE,FALSE,FALSE
3640,"14 Mar, ext if WA approved (No)","No",202,FALSE,TRUE,FALSE,FALSE
3951,"MV 2.5 (Aye)","Aye",286,TRUE,TRUE,FALSE,TRUE
3950,"MV 2.5 (No)","No",344,TRUE,TRUE,FALSE,TRUE
