"Id","Label","VoteName","Count","MeaningfulVote","PMs","Indicative","Markets"
4021,"3 Apr, more ind votes (Aye)","Aye",310,FALSE,FALSE,FALSE,FALSE
4020,"3 Apr, more ind votes (No)","No",310,FALSE,FALSE,FALSE,FALSE
3571,"No ND, ever (Aye)","Aye",312,FALSE,FALSE,FALSE,FALSE
3570,"No ND, ever (No)","No",309,FALSE,FALSE,FALSE,FALSE
3581,"No ND, Malthouse (Aye)","Aye",164,FALSE,FALSE,FALSE,FALSE
3580,"No ND, Malthouse (No)","No",374,FALSE,FALSE,FALSE,FALSE
3851,"Ind 1 (Aye)","Aye",331,FALSE,FALSE,TRUE,FALSE
3850,"Ind 1 (No)","No",287,FALSE,FALSE,TRUE,FALSE
3961,"Ind 2 (Aye)","Aye",322,FALSE,FALSE,TRUE,FALSE
3960,"Ind 2 (No)","No",277,FALSE,FALSE,TRUE,FALSE
4031,"3 Apr, (Cooper BofH) MPs ext (Aye)","Aye",312,FALSE,FALSE,FALSE,FALSE
4030,"3 Apr, (Cooper BofH) MPs ext (No)","No",311,FALSE,FALSE,FALSE,FALSE
3941,"Ext to 12 April (Aye)","Aye",440,FALSE,TRUE,FALSE,FALSE
3940,"Ext to 12 April (No)","No",105,FALSE,TRUE,FALSE,FALSE
3071,"29 Jan, Labour alts (Aye)","Aye",296,FALSE,FALSE,FALSE,TRUE
3070,"29 Jan, Labour alts (No)","No",327,FALSE,FALSE,FALSE,TRUE
3101,"29 Jan, ext + MPs plan if ND by 26/2 (Aye)","Aye",298,FALSE,FALSE,FALSE,FALSE
3100,"29 Jan, ext + MPs plan if ND by 26/2 (No)","No",321,FALSE,FALSE,FALSE,FALSE
3091,"29 Jan, MPs debate alts (Aye)","Aye",301,FALSE,FALSE,FALSE,FALSE
3090,"29 Jan, MPs debate alts (No)","No",321,FALSE,FALSE,FALSE,FALSE
3121,"29 Jan, no ND (Aye)","Aye",318,FALSE,FALSE,FALSE,FALSE
3120,"29 Jan, no ND (No)","No",310,FALSE,FALSE,FALSE,FALSE
3111,"29 Jan, ext if ND by 26/2 (Aye)","Aye",290,FALSE,FALSE,FALSE,FALSE
3110,"29 Jan, ext if ND by 26/2 (No)","No",322,FALSE,FALSE,FALSE,FALSE
3131,"29 Jan, b'stop alt. arr'ments (Aye)","Aye",317,FALSE,FALSE,FALSE,FALSE
3130,"29 Jan, b'stop alt. arr'ments (No)","No",301,FALSE,FALSE,FALSE,FALSE
3081,"29 Jan, ext and no ND (Aye)","Aye",39,FALSE,FALSE,FALSE,FALSE
3080,"29 Jan, ext and no ND (No)","No",327,FALSE,FALSE,FALSE,FALSE
