"Source","Target","Type","Weight","CountEither","CountBoth"
2931,3071,"Directed",0.00201207243460765,497,1
2930,3071,"Directed",0.673563218390805,435,293
2931,3070,"Directed",0.598187311178248,331,198
2930,3070,"Directed",0.204761904761905,630,129
3071,3881,"Directed",0.00558659217877095,358,2
3070,3881,"Directed",0.174174174174174,333,58
2931,3881,"Directed",0.225806451612903,217,49
2930,3881,"Directed",0.0311850311850312,481,15
3871,3881,"Undirected",0.155251141552511,219,34
3870,3881,"Undirected",0.084375,320,27
3541,3881,"Directed",0.219123505976096,251,55
3540,3881,"Directed",0.0201793721973094,446,9
3451,3881,"Directed",0.00996677740863787,301,3
3450,3881,"Directed",0.179878048780488,328,59
3071,3880,"Directed",0.32741617357002,507,166
3070,3880,"Directed",0.410821643286573,499,205
2931,3880,"Directed",0.213836477987421,477,102
2930,3880,"Directed",0.509328358208955,536,273
3871,3880,"Undirected",0.103313840155945,513,53
3870,3880,"Undirected",0.605839416058394,411,249
3541,3880,"Directed",0.278925619834711,484,135
3540,3880,"Directed",0.45179584120983,529,239
3451,3880,"Directed",0.248987854251012,494,123
3450,3880,"Directed",0.4,500,200
3071,3901,"Directed",0.741830065359477,306,227
3070,3901,"Directed",0.00355871886120996,562,2
2931,3901,"Directed",0.00919540229885057,435,4
2930,3901,"Directed",0.527397260273973,438,231
3881,3901,"Undirected",0.0134680134680135,297,4
3880,3901,"Undirected",0.235412474849095,497,117
3891,3901,"Undirected",0.838827838827839,273,229
3890,3901,"Undirected",0.0119521912350598,502,6
3871,3901,"Undirected",0.521428571428571,280,146
3870,3901,"Undirected",0.0677618069815195,487,33
3541,3901,"Directed",0.0105485232067511,474,5
3540,3901,"Directed",0.577889447236181,398,230
3451,3901,"Directed",0.939024390243902,246,231
3071,3900,"Directed",0.0255102040816327,588,15
3070,3900,"Directed",0.832369942196532,346,288
2931,3900,"Directed",0.471098265895954,346,163
2930,3900,"Directed",0.23785594639866,597,142
3881,3900,"Undirected",0.189102564102564,312,59
3880,3900,"Undirected",0.470967741935484,465,219
3891,3900,"Undirected",0.0592592592592593,540,32
3890,3900,"Undirected",0.829113924050633,316,262
3871,3900,"Undirected",0.0759219088937093,461,35
3870,3900,"Undirected",0.705202312138728,346,244
3541,3900,"Directed",0.582132564841499,347,202
3540,3900,"Directed",0.171140939597315,596,102
3451,3900,"Directed",0.00551470588235294,544,3
3450,3900,"Directed",0.836734693877551,343,287
3071,3971,"Directed",0.658892128279883,343,226
3070,3971,"Directed",0.0695187165775401,561,39
2931,3971,"Directed",0.0894495412844037,436,39
2930,3971,"Directed",0.490486257928118,473,232
3881,3971,"Directed",0.0732484076433121,314,23
3880,3971,"Directed",0.231060606060606,528,122
3901,3971,"Directed",0.827956989247312,279,231
3900,3971,"Directed",0.0661764705882353,544,36
3891,3971,"Directed",0.92831541218638,279,259
3890,3971,"Directed",0.0168224299065421,535,9
3931,3971,"Directed",0.00733496332518337,409,3
3930,3971,"Directed",0.590389016018307,437,258
3871,3971,"Directed",0.571428571428571,294,168
3870,3971,"Directed",0.0754352030947776,517,39
3541,3971,"Directed",0.0864978902953586,474,41
3540,3971,"Directed",0.529953917050691,434,230
3451,3971,"Directed",0.812720848056537,283,230
3450,3971,"Directed",0.0661896243291592,559,37
3951,3971,"Directed",0.0833333333333333,516,43
3950,3971,"Directed",0.582051282051282,390,227
3071,3970,"Directed",0.0381125226860254,551,21
3070,3970,"Directed",0.698591549295775,355,248
2931,3970,"Directed",0.357954545454545,352,126
2930,3970,"Directed",0.264285714285714,560,148
3881,3970,"Directed",0.122112211221122,303,37
3880,3970,"Directed",0.484090909090909,440,213
3901,3970,"Directed",0.00588235294117647,510,3
3900,3970,"Directed",0.793846153846154,325,258
3891,3970,"Directed",0.00371057513914657,539,2
3890,3970,"Directed",0.899305555555556,288,259
3931,3970,"Directed",0.476868327402135,281,134
3930,3970,"Directed",0.189097103918228,587,111
3871,3970,"Directed",0.0287610619469027,452,13
3870,3970,"Directed",0.746875,320,239
3541,3970,"Directed",0.459154929577465,355,163
3540,3970,"Directed",0.197486535008977,557,110
3451,3970,"Directed",0.0117647058823529,510,6
3450,3970,"Directed",0.696883852691218,353,246
3951,3970,"Directed",0.574229691876751,357,205
3950,3970,"Directed",0.121157323688969,553,67
3071,3891,"Directed",0.659763313609467,338,223
3070,3891,"Directed",0.0647482014388489,556,36
2931,3891,"Directed",0.0810185185185185,432,35
2930,3891,"Directed",0.486140724946695,469,228
3881,3891,"Undirected",0.0786885245901639,305,24
3880,3891,"Undirected",0.220532319391635,526,116
3871,3891,"Undirected",0.598591549295775,284,170
3870,3891,"Undirected",0.062015503875969,516,32
3541,3891,"Directed",0.0764331210191083,471,36
3540,3891,"Directed",0.529137529137529,429,227
3451,3891,"Directed",0.803571428571429,280,225
3450,3891,"Directed",0.0594594594594595,555,33
3071,3890,"Directed",0.029038112522686,551,16
3070,3890,"Directed",0.698863636363636,352,246
2931,3890,"Directed",0.363112391930836,347,126
2930,3890,"Directed",0.255357142857143,560,143
3881,3890,"Undirected",0.131756756756757,296,39
3880,3890,"Undirected",0.5,432,216
3871,3890,"Undirected",0.031390134529148,446,14
3870,3890,"Undirected",0.781350482315113,311,243
3541,3890,"Directed",0.469914040114613,349,164
3540,3890,"Directed",0.186379928315412,558,104
3451,3890,"Directed",0.0138888888888889,504,7
3450,3890,"Directed",0.702005730659026,349,245
3071,3931,"Directed",0.00230414746543779,434,1
3070,3931,"Directed",0.40785498489426,331,135
2931,3931,"Directed",0.136666666666667,300,41
2930,3931,"Directed",0.20464135021097,474,97
3881,3931,"Undirected",0.0913978494623656,186,17
3880,3931,"Undirected",0.267813267813268,407,109
3901,3931,"Undirected",0.00266666666666667,375,1
3900,3931,"Undirected",0.438709677419355,310,136
3891,3931,"Undirected",0.00748129675810474,401,3
3890,3931,"Undirected",0.496350364963504,274,136
3871,3931,"Undirected",0.0123456790123457,324,4
3870,3931,"Undirected",0.406666666666667,300,122
3541,3931,"Directed",0.201892744479495,317,64
3540,3931,"Directed",0.159737417943107,457,73
3451,3931,"Directed",0.00264550264550265,378,1
3450,3931,"Directed",0.417177914110429,326,136
3071,3930,"Directed",0.658198614318707,433,285
3070,3930,"Directed",0.202247191011236,623,126
2931,3930,"Directed",0.204633204633205,518,106
2930,3930,"Directed",0.578558225508318,541,313
3881,3930,"Undirected",0.0921348314606742,445,41
3880,3930,"Undirected",0.447463768115942,552,247
3901,3930,"Undirected",0.532558139534884,430,229
3900,3930,"Undirected",0.239795918367347,588,141
3891,3930,"Undirected",0.58294930875576,434,253
3890,3930,"Undirected",0.188679245283019,583,110
3871,3930,"Undirected",0.404597701149425,435,176
3870,3930,"Undirected",0.239015817223199,569,136
3541,3930,"Directed",0.216117216117216,546,118
3540,3930,"Directed",0.590998043052838,511,302
3451,3930,"Directed",0.535962877030162,431,231
3450,3930,"Directed",0.197749196141479,622,123
3071,3871,"Directed",0.443452380952381,336,149
3070,3871,"Directed",0.075,480,36
2931,3871,"Directed",0.104519774011299,354,37
2930,3871,"Directed",0.321276595744681,470,151
3541,3871,"Directed",0.0966921119592875,393,38
3540,3871,"Directed",0.348837209302326,430,150
3451,3871,"Directed",0.505263157894737,285,144
3450,3871,"Directed",0.0756302521008403,476,36
3071,3870,"Directed",0.0842696629213483,534,45
3070,3870,"Directed",0.605263157894737,380,230
2931,3870,"Directed",0.328767123287671,365,120
2930,3870,"Directed",0.290613718411552,554,161
3541,3870,"Directed",0.430517711171662,367,158
3540,3870,"Directed",0.221014492753623,552,122
3451,3870,"Directed",0.0739219712525667,487,36
3450,3870,"Directed",0.594736842105263,380,226
3071,3981,"Directed",0.672672672672673,333,224
3070,3981,"Directed",0.0594594594594595,555,33
2931,3981,"Directed",0.074245939675174,431,32
2930,3981,"Directed",0.487124463519313,466,227
3881,3981,"Directed",0.109215017064846,293,32
3880,3981,"Directed",0.206049149338374,529,109
3901,3981,"Directed",0.606451612903226,310,188
3900,3981,"Directed",0.0577281191806331,537,31
3971,3981,"Undirected",0.63302752293578,327,207
3970,3981,"Undirected",0.028735632183908,522,15
3891,3981,"Directed",0.648902821316614,319,207
3890,3981,"Directed",0.0290135396518375,517,15
3931,3981,"Directed",0.0101010101010101,396,4
3930,3981,"Directed",0.555808656036446,439,244
3871,3981,"Directed",0.660516605166052,271,179
3870,3981,"Directed",0.0264150943396226,530,14
3541,3981,"Directed",0.0702127659574468,470,33
3540,3981,"Directed",0.530516431924883,426,226
3451,3981,"Directed",0.59047619047619,315,186
3450,3981,"Directed",0.0579710144927536,552,32
3951,3981,"Directed",0.0662768031189084,513,34
3950,3981,"Directed",0.587926509186352,381,224
3071,3980,"Directed",0.056672760511883,547,31
3070,3980,"Directed",0.654891304347826,368,241
2931,3980,"Directed",0.35195530726257,358,126
2930,3980,"Directed",0.275,560,154
3881,3980,"Directed",0.0679012345679012,324,22
3880,3980,"Directed",0.525462962962963,432,227
3901,3980,"Directed",0.0318091451292246,503,16
3900,3980,"Directed",0.737463126843658,339,250
3971,3980,"Undirected",0.0471698113207547,530,25
3970,3980,"Undirected",0.835526315789474,304,254
3891,3980,"Directed",0.0320754716981132,530,17
3890,3980,"Directed",0.801302931596091,307,246
3931,3980,"Directed",0.431972789115646,294,127
3930,3980,"Directed",0.207547169811321,583,121
3871,3980,"Directed",0.00641025641025641,468,3
3870,3980,"Directed",0.799363057324841,314,251
3541,3980,"Directed",0.443526170798898,363,161
3540,3980,"Directed",0.212612612612613,555,118
3451,3980,"Directed",0.0398406374501992,502,20
3450,3980,"Directed",0.653005464480874,366,239
3951,3980,"Directed",0.556164383561644,365,203
3950,3980,"Directed",0.136116152450091,551,75
3071,3541,"Directed",0.00373134328358209,536,2
3070,3541,"Directed",0.708708708708709,333,236
2931,3541,"Directed",0.827160493827161,243,201
2930,3541,"Directed",0.0630914826498423,634,40
3451,3541,"Directed",0.00416666666666667,480,2
3450,3541,"Directed",0.706948640483384,331,234
3071,3540,"Directed",0.748091603053435,393,294
3070,3540,"Directed",0.141494435612083,629,89
2930,3540,"Directed",0.896313364055299,434,389
3451,3540,"Directed",0.601522842639594,394,237
3450,3540,"Directed",0.136942675159236,628,86
3071,3451,"Directed",0.768976897689769,303,233
3070,3451,"Directed",0.00353982300884956,565,2
2931,3451,"Directed",0.00226757369614512,441,1
2930,3451,"Directed",0.544827586206897,435,237
3071,3450,"Directed",0.00161812297734628,618,1
3070,3450,"Directed",0.963746223564955,331,319
2931,3450,"Directed",0.590909090909091,330,195
2930,3450,"Directed",0.200317965023847,629,126
3071,3951,"Directed",0.00518134715025907,579,3
3070,3951,"Directed",0.829850746268657,335,278
2931,3951,"Directed",0.694444444444444,288,200
2930,3951,"Directed",0.132492113564669,634,84
3881,3951,"Directed",0.202749140893471,291,59
3880,3951,"Directed",0.355828220858896,489,174
3901,3951,"Directed",0.0135658914728682,516,7
3900,3951,"Directed",0.694285714285714,350,243
3891,3951,"Directed",0.0740740740740741,513,38
3890,3951,"Directed",0.582386363636364,352,205
3931,3951,"Directed",0.307692307692308,325,100
3930,3951,"Directed",0.21025641025641,585,123
3871,3951,"Directed",0.0894495412844037,436,39
3870,3951,"Directed",0.537837837837838,370,199
3541,3951,"Directed",0.839721254355401,287,241
3540,3951,"Directed",0.0678233438485804,634,43
3451,3951,"Directed",0.00766283524904215,522,4
3450,3951,"Directed",0.83433734939759,332,277
3071,3950,"Directed",0.833810888252149,349,291
3070,3950,"Directed",0.0753205128205128,624,47
2930,3950,"Directed",0.788018433179724,434,342
3881,3950,"Directed",0.00740740740740741,405,3
3880,3950,"Directed",0.386538461538462,520,201
3901,3950,"Directed",0.641242937853107,354,227
3900,3950,"Directed",0.103389830508475,590,61
3891,3950,"Directed",0.5859375,384,225
3890,3950,"Directed",0.112115732368897,553,62
3931,3950,"Directed",0.0853932584269663,445,38
3930,3950,"Directed",0.622881355932203,472,294
3871,3950,"Directed",0.388020833333333,384,149
3870,3950,"Directed",0.146252285191956,547,80
3540,3950,"Directed",0.879795396419437,391,344
3451,3950,"Directed",0.668571428571429,350,234
3450,3950,"Directed",0.0723472668810289,622,45
