"Source","Target","Type","Weight","CountEither","CountBoth"
3940,3941,"Directed",0.00183823529411765,544,1
2931,3941,"Directed",0.268774703557312,506,136
2930,3941,"Directed",0.527145359019264,571,301
3751,3941,"Directed",0.678336980306346,457,310
3750,3941,"Directed",0.205211726384365,614,126
3591,3941,"Directed",0.650759219088937,461,300
3590,3941,"Directed",0.171288743882545,613,105
3541,3941,"Directed",0.267657992565056,538,144
3540,3941,"Directed",0.544609665427509,538,293
3331,3941,"Directed",0.259459459459459,555,144
3330,3941,"Directed",0.60475161987041,463,280
3641,3941,"Directed",0.842332613390929,463,390
3640,3941,"Directed",0.0646766169154229,603,39
2931,3940,"Directed",0.0267558528428094,299,8
2930,3940,"Directed",0.220454545454545,440,97
3750,3940,"Directed",0.341059602649007,302,103
3591,3940,"Directed",0.00235294117647059,425,1
3590,3940,"Directed",0.372759856630824,279,104
3541,3940,"Directed",0.115755627009646,311,36
3540,3940,"Directed",0.161592505854801,427,69
3331,3940,"Directed",0.155555555555556,315,49
3330,3940,"Directed",0.00740740740740741,405,3
3641,3940,"Directed",0.00387596899224806,516,2
3640,3940,"Directed",0.475961538461538,208,99
3941,4061,"Directed",0.245746691871456,529,130
3940,4061,"Directed",0.0728476821192053,302,22
4060,4061,"Directed",0.00650406504065041,615,4
2931,4061,"Directed",0.776371308016878,237,184
2930,4061,"Directed",0.0551053484602917,617,34
3751,4061,"Directed",0.024390243902439,533,13
3750,4061,"Directed",0.632075471698113,318,201
3591,4061,"Directed",0.0150375939849624,532,8
3590,4061,"Directed",0.572784810126582,316,181
3541,4061,"Directed",0.766283524904215,261,200
3540,4061,"Directed",0.0269360269360269,594,16
3331,4061,"Directed",0.750915750915751,273,205
3330,4061,"Directed",0.00384615384615385,520,2
3641,4061,"Directed",0.183520599250936,534,98
3640,4061,"Directed",0.353697749196141,311,110
3951,4061,"Directed",0.723549488054608,293,212
3950,4061,"Directed",0.00896057347670251,558,5
3941,4060,"Directed",0.544117647058823,544,296
3940,4060,"Directed",0.193853427895981,423,82
2931,4060,"Directed",0.0220713073005093,589,13
2930,4060,"Directed",0.865470852017937,446,386
3751,4060,"Directed",0.730952380952381,420,307
3750,4060,"Directed",0.147540983606557,610,90
3591,4060,"Directed",0.737349397590361,415,306
3590,4060,"Directed",0.153061224489796,588,90
3541,4060,"Directed",0.0524590163934426,610,32
3540,4060,"Directed",0.861176470588235,425,366
3331,4060,"Directed",0.0750407830342577,613,46
3330,4060,"Directed",0.718826405867971,409,294
3641,4060,"Directed",0.594117647058824,510,303
3640,4060,"Directed",0.164410058027079,517,85
3951,4060,"Directed",0.0993589743589744,624,62
3950,4060,"Directed",0.814634146341463,410,334
2931,3751,"Directed",0.0413385826771654,508,21
2930,3751,"Directed",0.668131868131868,455,304
3591,3751,"Directed",0.934328358208955,335,313
3590,3751,"Directed",0.010016694490818,599,6
3541,3751,"Directed",0.0402193784277879,547,22
3540,3751,"Directed",0.730120481927711,415,303
3331,3751,"Directed",0.0390070921985816,564,22
3330,3751,"Directed",0.858407079646018,339,291
3641,3751,"Directed",0.749408983451537,423,317
3640,3751,"Directed",0.00189393939393939,528,1
2931,3750,"Directed",0.535168195718654,327,175
2930,3750,"Directed",0.201970443349754,609,123
3591,3750,"Directed",0.00648298217179903,617,4
3590,3750,"Directed",0.870550161812298,309,269
3541,3750,"Directed",0.652439024390244,328,214
3540,3750,"Directed",0.136513157894737,608,83
3331,3750,"Directed",0.709480122324159,327,232
3330,3750,"Directed",0.0151515151515152,594,9
