"Id","Label","VoteName","Count"
3081,"29 Jan, Blackford (o) (Aye)","Aye",39
3080,"29 Jan, Blackford (o) (No)","No",327
3571,"Spelman (no no deal) (Aye)","Aye",312
3570,"Spelman (no no deal) (No)","No",309
3581,"Malthouse (no deal) (Aye)","Aye",164
3580,"Malthouse (no deal) (No)","No",374
3071,"29 Jan, Corbyn (a) (Aye)","Aye",296
3070,"29 Jan, Corbyn (a) (No)","No",327
3101,"29 Jan, Cooper (b) (Aye)","Aye",298
3100,"29 Jan, Cooper (b) (No)","No",321
3091,"29 Jan, Grieve (g) (Aye)","Aye",301
3090,"29 Jan, Grieve (g) (No)","No",321
3121,"29 Jan, Spelman (i) (Aye)","Aye",318
3120,"29 Jan, Spelman (i) (No)","No",310
3111,"29 Jan, Reeves (j) (Aye)","Aye",290
3110,"29 Jan, Reeves (j) (No)","No",322
3131,"29 Jan, Brady (n) (Aye)","Aye",317
3130,"29 Jan, Brady (n) (No)","No",301
2921,"MV 1, Baron (f) (Aye)","Aye",24
2920,"MV 1, Baron (f) (No)","No",600
2931,"MV 1 (Aye)","Aye",202
2930,"MV 1 (No)","No",432
3591,"No no deal, amdd (Aye)","Aye",321
3590,"No no deal, amdd (No)","No",278
2961,"No conf (Aye)","Aye",306
2960,"No conf (No)","No",325
3541,"MV 2 (Aye)","Aye",242
3540,"MV 2 (No)","No",391
3331,"14 Feb, Ack (Aye)","Aye",259
3330,"14 Feb, Ack (No)","No",303
3461,"27 Feb, Blackford (Aye)","Aye",288
3460,"27 Feb, Blackford (No)","No",324
3321,"14 Feb, Blackford (Aye)","Aye",93
3320,"14 Feb, Blackford (No)","No",315
3311,"14 Feb, Corbyn (Aye)","Aye",306
3310,"14 Feb, Corbyn (No)","No",322
3451,"27 Feb, Corbyn (Aye)","Aye",240
3450,"27 Feb, Corbyn (No)","No",323
3471,"27 Feb, Cooper (Aye)","Aye",502
3470,"27 Feb, Cooper (No)","No",20
